id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm100027,Alibaba Aur 40 Chor,MOVIE,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1979,nan,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",nan,tt0079749,6.2,565.0,2.582,6.8
tm19608,The Blazing Sun,MOVIE,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,nan,100,"['crime', 'romance', 'drama']",['EG'],nan,tt0047500,7.4,1219.0,2.184,7.0
tm204541,Dark Waters,MOVIE,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,nan,120,"['action', 'drama', 'romance', 'thriller']",['EG'],nan,tt0049761,6.7,610.0,0.849,5.9
tm259855,We Are All for the Fatherland,MOVIE,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1979,nan,74,['documentation'],"['LB', 'CA', 'FR']",nan,tt0170799,6.1,47.0,0.6,5.2
tm356209,Singapore,MOVIE,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",1960,nan,158,"['drama', 'thriller', 'crime']",['IN'],nan,tt0268639,6.4,84.0,0.792,6.3
tm200475,"Beirut, Oh Beirut",MOVIE,"In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",1975,nan,110,['drama'],['LB'],nan,tt0169599,6.4,108.0,1.025,7.2
tm90896,The Return of the Prodigal Son,MOVIE,"In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",1976,nan,124,"['music', 'drama', 'crime']","['DZ', 'EG']",nan,tt0074168,7.2,780.0,1.858,5.3
tm336403,Khoon Khoon,MOVIE,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.",1973,nan,131,"['crime', 'thriller']",['IN'],nan,tt0230412,5.1,41.0,1.948,3.8
tm107372,Manoranjan,MOVIE,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,nan,162,"['romance', 'drama', 'comedy']",['IN'],nan,tt0071811,6.5,237.0,1.532,5.3
tm358653,Ujala,MOVIE,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",1959,nan,142,"['romance', 'crime', 'drama']",['IN'],nan,tt0157132,6.6,78.0,0.84,6.0
tm259684,Whispers,MOVIE,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,nan,93,['documentation'],"['CA', 'FR', 'LB']",nan,tt0170803,7.8,78.0,0.6,5.0
tm403346,Chadi Jawani Budhe Nu,MOVIE,"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",1976,nan,135,['romance'],['IN'],nan,tt3290368,4.6,14.0,0.62,6.0
tm16812,Bandie,MOVIE,"Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.",1978,nan,141,"['drama', 'action', 'romance']",['IN'],nan,tt1219315,4.4,35.0,1.166,6.0
tm155787,GoodFellas,MOVIE,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,R,145,"['drama', 'crime']",['US'],nan,tt0099685,8.7,1131681.0,50.387,8.463
tm22327,Full Metal Jacket,MOVIE,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,R,117,"['war', 'drama']","['US', 'GB']",nan,tt0093058,8.3,729274.0,32.937,8.1
tm180542,Once Upon a Time in America,MOVIE,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984,R,139,"['crime', 'drama', 'european']","['US', 'IT']",nan,tt0087843,8.3,345714.0,28.937,8.453
tm138875,When Harry Met Sally...,MOVIE,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",1989,R,96,"['comedy', 'romance', 'drama']",['US'],nan,tt0098635,7.7,216199.0,15.123,7.4
tm2386,A Nightmare on Elm Street,MOVIE,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984,R,91,['horror'],"['GB', 'US']",nan,tt0087800,7.4,234068.0,48.358,7.3
tm133087,Steel Magnolias,MOVIE,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.",1989,PG,119,"['comedy', 'drama', 'romance']",['US'],nan,tt0098384,7.3,54946.0,11.69,7.2
tm177480,Police Academy,MOVIE,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",1984,R,97,"['crime', 'comedy']",['US'],nan,tt0087928,6.7,124881.0,25.533,6.6
tm54450,Christine,MOVIE,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",1983,R,110,"['horror', 'thriller', 'european']",['US'],nan,tt0085333,6.7,81922.0,23.418,6.8
tm145608,Awakenings,MOVIE,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,PG-13,120,"['drama', 'european']",['US'],nan,tt0099077,7.8,139240.0,12.23,7.8
tm147710,National Lampoon's Christmas Vacation,MOVIE,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",1989,PG-13,97,"['comedy', 'european']",['US'],nan,tt0097958,7.5,185760.0,18.862,7.2
tm142895,Lean On Me,MOVIE,"When principal Joe Clark takes over decaying Eastside High School, he's faced with students wearing gang colors and graffiti-covered walls. Determined to do anything he must to turn the school around, he expels suspected drug dealers, padlocks doors and demands effort and results from students, staff and parents. Autocratic to a fault, this real-life educator put it all on the line.",1989,PG-13,105,['drama'],['US'],nan,tt0097722,7.4,20680.0,19.449,7.3
tm20712,Eddie Murphy Raw,MOVIE,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",1987,R,90,"['comedy', 'documentation']",['US'],nan,tt0092948,7.6,19757.0,7.992,7.3
tm117580,She's Gotta Have It,MOVIE,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",1986,R,84,"['romance', 'comedy']",['US'],nan,tt0091939,6.7,14472.0,7.416,6.707
tm130586,Endless Love,MOVIE,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",1981,R,116,"['romance', 'drama']",['US'],nan,tt0082329,4.9,8524.0,19.116,5.7
tm721687,Vaashi,MOVIE,"Ebin Mathew, a budding lawyer ambitiously joins hands with his advocate friend Madhavi Mohan, to share a new office space in order for them to start their independent careers. Their relationship gets strained when they land on opposite ends of a case.",1983,nan,123,"['drama', 'thriller']",['IN'],nan,tt13913068,6.7,388.0,3.79,nan
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,In UC 0093 the Federation has recovered from its defeat and has created a new anti-colonial special forces unit to deal with rebel forces: Londo Bell. Elsewhere in space Char Aznable re-appears out of self imposed hiding with a declaration that he now commands his own Neo-Zeon movementand intends to force the emigration of Earth's inhabitants to space by bringing about an apocalypse.,1988,nan,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],nan,tt0095262,7.3,1693.0,8.092,6.7
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,"After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits must battle Zeon forces through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.",1981,nan,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],nan,tt0159510,7.2,1274.0,13.125,7.2
tm21953,Sam Kinison: Breaking the Rules,MOVIE,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.",1987,R,50,"['comedy', 'documentation']",['US'],nan,tt0307403,7.2,660.0,1.843,7.2
tm126769,Waiting for the Hearse,MOVIE,"Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?",1985,nan,87,['comedy'],['AR'],nan,tt0089108,8.0,6399.0,7.81,8.1
tm152839,Tim Allen: Men Are Pigs,MOVIE,"Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.",1990,nan,30,"['comedy', 'documentation']",['US'],nan,tt0259057,6.1,360.0,2.482,6.3
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle against the Duchy of Zeon's forces.",1982,nan,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],nan,tt0159511,7.6,1236.0,12.741,7.5
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",1982,R,81,"['comedy', 'documentation']",['GB'],nan,tt0084352,7.9,15230.0,6.833,7.4
tm52815,Disco Dancer,MOVIE,"Anil, a street singer, is humiliated and driven out of Bombay along with his mother. However, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.",1982,nan,106,"['drama', 'romance']",['IN'],nan,tt0208903,6.4,1476.0,7.879,5.3
tm159912,Agneepath,MOVIE,"The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?",1990,nan,174,"['drama', 'action', 'crime']",['IN'],nan,tt0098999,7.6,8947.0,4.062,6.5
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.",1989,nan,72,['comedy'],['GB'],nan,tt0213984,8.1,1522.0,1.801,6.9
tm38736,Too Young The Hero,MOVIE,"TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.",1988,nan,100,"['drama', 'war']",['US'],nan,tt0096286,6.7,502.0,1.485,6.2
tm51083,A Stoning in Fulham County,MOVIE,Religious beliefs clash with the law when an Amish infant is killed in a rural community.,1988,nan,120,"['thriller', 'crime', 'drama']",['US'],nan,tt0096179,5.9,387.0,1.01,5.8
tm137013,The Ryan White Story,MOVIE,"The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",1989,nan,102,['drama'],['US'],nan,tt0098237,7.2,863.0,1.981,5.9
tm157603,Dil,MOVIE,"Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.",1990,nan,172,"['drama', 'comedy', 'romance']",['IN'],nan,tt0099429,6.6,5316.0,3.992,6.5
tm258072,Adam: His Song Continues,MOVIE,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",1986,nan,100,"['crime', 'drama']",['US'],nan,tt0090589,7.0,212.0,1.603,7.0
tm114356,The George McKenna Story,MOVIE,"Washington plays a school principal in a tough inner city Los Angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",1988,nan,100,['drama'],['US'],nan,tt0091106,6.0,921.0,2.296,6.1
tm157853,In Defense of a Married Man,MOVIE,"When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?",1990,nan,94,"['drama', 'crime']",['US'],nan,tt0099396,5.6,207.0,2.444,4.9
tm132164,Bill Hicks: Sane Man,MOVIE,"Sane Man was filmed before Bill recorded ‘Dangerous’, his first comedy album, and is a turning point in Hicks’ career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless.",1989,R,80,['comedy'],['US'],nan,nan,nan,nan,3.377,7.5
tm446654,Mujrim,MOVIE,"The film follows the story of Shankar, who is regarded as a criminal by the society after being in jail for ten years since childhood.",1989,nan,162,"['drama', 'action', 'crime']",['IN'],nan,tt0097926,5.4,197.0,1.418,6.0
tm348735,Aakhri Adaalat,MOVIE,Inspector Amar Kaushal attempts to incarcerate wrong-doers in his society only lead to frustration when they are let off by the incompetence of the law and his superiors and seniors. Eventually Amar stands accused of killing several criminals and innocents which prompts him to take law into his own hands.,1988,nan,148,"['action', 'crime', 'thriller']",['IN'],nan,tt0177505,5.1,92.0,1.374,5.0
tm151332,"Alexandria, Again and Forever",MOVIE,"Set in 1987 against the backdrop of a hunger strike by the Egyptian film industry, Chahine himself steps in to play Yehia, the famed Egyptian director whose life is chronicled in ""Alexandria, Why?"" and ""An Egyptian Story"". Obsessed with Amr, the handsome actor he discovered and cast as his alter-ego in parts one and two of The Alexandria Trilogy, Yehia pressures Amr to star in various film projects that change even as Yehia's perception of the young actor begins to change. He first casts Amr as Hamlet, which the actor deems too demanding for his talents, then as the lead in a musical biopic of demigod Alexander the Great, who founded the city of Alexandria in 332 B.C.",1989,nan,105,['drama'],"['FR', 'EG']",nan,tt0099858,6.5,658.0,0.817,5.3
tm342996,Duniya,MOVIE,"Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch helplessly as his wife is killed. Years later, Mohan Kumar is released from prison, his only goal in life is to avenge his humiliation and wrongful arrest at the hands of the trio. With the help of Dinesh Verma, he establishes himself again, and starts the process of bringing death and destruction to the trio. The trio are well aware of his presence, and decide to send one of their men, Ravi, to spy on him. Ravi falls in love with Verma's daughter, Roma, and decides to change sides to help Verma and Mohan, but Mohan will not have anything to do with Ravi, and asks him to leave. Ravi then becomes a target by the trio and their men, and has to save himself, and the only way he can redeem himself is by turning the tables over Mohan, who is none other than his own father.Duniya",1984,nan,170,"['action', 'drama']",['IN'],nan,tt0301231,6.3,245.0,1.394,nan
tm24110,Strange Voices,MOVIE,A family begins to fall apart when their eldest daughter is diagnosed with schizophrenia.,1987,nan,100,['drama'],['US'],nan,tt0094052,6.3,360.0,2.76,6.8
tm371359,Jaal,MOVIE,"Shankar's father leaves the family for Meenabai. He later learns that his father is dead. He sets out to find out Meenabai, who he thinks is behind his father's death.",1986,nan,159,"['action', 'drama', 'thriller']",['IN'],nan,tt0239495,5.2,125.0,3.366,5.0
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,"Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.",1988,nan,100,['drama'],['US'],nan,tt0095945,7.2,144.0,2.246,8.0
tm311264,Muqaddar Ka Faisla,MOVIE,"Muqaddar ka Faisla, is the story of Pandit Krishna Kant. A poor, but extremely honest, upright, God-fearing man, who refuses to compromise on his principles.",1987,nan,172,"['action', 'comedy', 'drama', 'family']",['IN'],nan,tt0239682,4.8,69.0,2.236,nan
tm411457,Pyar Ke Do Pal,MOVIE,"In order to assist her close friend, Rajni Thakur, Geeta Choudhary, has an abortion in her name, so that Rajni can get married. When her secret gets leaked out, Geeta's husband, Ashok, blames her, accuses her of being unfaithful, and drives her out of his house. They have twins, Sunil and Anil, and each parent is allowed custody of one child. The children meet each other at Scout camp, and decide to re-unite their parents, without realizing that they are exposing not only them, but also each other, to danger and death.",1986,nan,125,"['drama', 'action']",['IN'],nan,tt0358053,6.1,66.0,1.756,nan
tm172482,Sohni Mahiwal,MOVIE,"Shahjada Ijjat Beg comes to India with his caravan and settles in a town in Gujrat. Here he falls in love with Sohani, who keeps a shop in metal pots. Ijjat Beg buys pot from her with whatever money he had and they were attracted to each other. Sohni dispensed with her servant and kept Ijjat Beg instead. This gave them more opportunity to meet. This was a scandal in the town and Sohni was perforce married to Rehaman who was slightly off his head. Sohni continued her meeting Ijjat Beg who went out fishing. When the atmosphere became to hot for them they jointly took a water grave for their love.",1984,nan,160,"['romance', 'drama', 'action']",['IN'],nan,tt0170148,6.1,297.0,6.052,5.8
tm419052,Ek Jaan Hain Hum,MOVIE,"Coming from a decent upper middle-class family, Vikram Saxena meets with gorgeous Seema Singh, and both fall in love. But their respective families have other plans for them. While Vikram is able to convince his advocate dad, Shyam Sunder, to change his mind, Seema is unable to do so, and her marriage is being planned with a U.S. resident. Things take a turn for the worst when the police arrest Vikram with arson, with evidence that he had burned down a property belonging to Seema's dad, Colonel Ram Mohan Singh. Due to this, Vikram's dad comes forward to defend him, and Seema will not have anything to do with him anymore. Shyam Sunder realizes that the only way he can save his son from being imprisoned is to have him certified as insane, but will have to live with the consequences for the rest of his life, as well as the the stigma this will place on his family for years to come.",1983,nan,151,"['family', 'romance']",['IN'],nan,tt0379272,6.3,70.0,0.986,7.0
